Date,Open,High,Low,Adj Close,Volume,Dividend,Split,Close
2015-12-31,120.56999969482422,120.86000061035156,120.25,120.58000183105469,7897700,0,1,120.58000183105469
2016-01-04,121.93000030517578,122.4499969482422,121.31999969482422,121.4499969482422,10591900,0,1,121.4499969482422
2016-01-05,120.87999725341795,121.5,120.66000366210938,120.95999908447266,6242600,0,1,120.95999908447266
2016-01-06,122.3000030517578,122.62000274658205,122.0500030517578,122.58999633789062,8916900,0,1,122.58999633789062
2016-01-07,122.68000030517578,122.93000030517578,121.79000091552734,122.80999755859376,10202200,0,1,122.80999755859376
2016-01-08,122.43000030517578,123.47000122070312,122.2300033569336,123.36000061035156,9577200,0,1,123.36000061035156
2016-01-11,122.04000091552734,122.79000091552734,121.86000061035156,122.01000213623048,10040300,0,1,122.01000213623048
2016-01-12,122.33999633789062,124.31999969482422,122.1500015258789,123.7699966430664,12897700,0,1,123.7699966430664
2016-01-13,123.52999877929688,125.5,123.2699966430664,124.98999786376952,15577600,0,1,124.98999786376952
2016-01-14,124.47000122070312,124.97000122070312,123.33999633789062,123.81999969482422,12873800,0,1,123.81999969482422
2016-01-15,125.4000015258789,125.95999908447266,125.08000183105469,125.75,13976300,0,1,125.75
2016-01-19,125.12999725341795,126.06999969482422,124.9499969482422,125.36000061035156,8926600,0,1,125.36000061035156
2016-01-20,126.9800033569336,127.91999816894531,126.41999816894531,126.68000030517578,17283300,0,1,126.68000030517578
2016-01-21,126.94000244140624,127.29000091552734,125.66999816894531,125.81999969482422,11001600,0,1,125.81999969482422
2016-01-22,124.91000366210938,125.52999877929688,124.5199966430664,125.33999633789062,10164300,0,1,125.33999633789062
2016-01-25,125.9499969482422,126.2699966430664,125.6500015258789,126.0199966430664,5738200,0,1,126.0199966430664
2016-01-26,125.98999786376952,126.45999908447266,125.75,126.08000183105469,5692600,0,1,126.08000183105469
2016-01-27,125.75,126.29000091552734,125.19000244140624,126.0500030517578,7957800,0,1,126.0500030517578
2016-01-28,125.54000091552734,126.41000366210938,125.45999908447266,126.2300033569336,10575400,0,1,126.2300033569336
2016-01-29,127.41000366210938,127.86000061035156,126.91999816894531,127.3000030517578,13170700,0,1,127.3000030517578
2016-02-01,126.79000091552734,127.06999969482422,126.29000091552734,126.66999816894531,9948400,0,1,126.66999816894531
