Date,Open,High,Low,Adj Close,Volume,Dividend,Split,Close
2015-12-31,122.62999725341795,122.81999969482422,122.54000091552734,122.61000061035156,758500,0,1,122.61000061035156
2016-01-04,122.95999908447266,123.08000183105469,122.81999969482422,122.86000061035156,1411900,0,1,122.86000061035156
2016-01-05,122.83999633789062,123.0,122.79000091552734,122.91000366210938,345100,0,1,122.91000366210938
2016-01-06,123.19000244140624,123.30999755859376,123.0999984741211,123.2699966430664,261200,0,1,123.2699966430664
2016-01-07,123.41000366210938,123.5500030517578,123.1999969482422,123.5500030517578,401100,0,1,123.5500030517578
2016-01-08,123.5199966430664,123.8000030517578,123.44000244140624,123.8000030517578,418000,0,1,123.8000030517578
2016-01-11,123.55999755859376,123.80999755859376,123.51000213623048,123.6500015258789,824700,0,1,123.6500015258789
2016-01-12,123.63999938964844,124.08000183105469,123.54000091552734,123.87999725341795,422200,0,1,123.87999725341795
2016-01-13,123.8000030517578,124.25,123.79000091552734,124.12999725341795,290000,0,1,124.12999725341795
2016-01-14,124.08999633789062,124.25,123.88999938964844,124.0999984741211,1759600,0,1,124.0999984741211
2016-01-15,124.62999725341795,124.62999725341795,124.36000061035156,124.44000244140624,989000,0,1,124.44000244140624
2016-01-19,124.26000213623048,124.4499969482422,124.25,124.31999969482422,790700,0,1,124.31999969482422
2016-01-20,124.68000030517578,124.9000015258789,124.58000183105469,124.6500015258789,600700,0,1,124.6500015258789
2016-01-21,124.7699966430664,124.80999755859376,124.4499969482422,124.52999877929688,502600,0,1,124.52999877929688
2016-01-22,124.27999877929688,124.38999938964844,124.1500015258789,124.3499984741211,317200,0,1,124.3499984741211
2016-01-25,124.41000366210938,124.5199966430664,124.33999633789062,124.4800033569336,402300,0,1,124.4800033569336
2016-01-26,124.52999877929688,124.66999816894531,124.4499969482422,124.58999633789062,462900,0,1,124.58999633789062
2016-01-27,124.4499969482422,124.69000244140624,124.33000183105469,124.66999816894531,299700,0,1,124.66999816894531
2016-01-28,124.61000061035156,124.8499984741211,124.58999633789062,124.81999969482422,320900,0,1,124.81999969482422
